id,title,authors,year,venue,doi_or_arxiv,url,found_via,notes
C01,"CNN-generated images are surprisingly easy to spot... for now","Wang et al.",2020,"CVPR 2020","arXiv:1912.11035","https://arxiv.org/abs/1912.11035","gan_cnn; datasets","ProGAN-trained ResNet-50 generalizes to 11 unseen CNN generators; introduces ForenSynths; field baseline"
C02,"What makes fake images detectable? Understanding properties that generalize","Chai et al.",2020,"ECCV 2020","arXiv:2008.10588","https://arxiv.org/abs/2008.10588","gan_cnn; xai","Patch-based classifier with limited receptive field; local texture artefacts transfer across generators; produces heatmaps"
C03,"Are GAN generated images easy to detect? A critical analysis of the state-of-the-art","Gragnaniello et al.",2021,"IEEE ICME 2021","arXiv:2104.02617","https://arxiv.org/abs/2104.02617","gan_cnn","Critical benchmark of SOTA detectors under realistic conditions; augmentation and no-downsampling improve generalization"
C04,"Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints","Yu et al.",2019,"ICCV 2019","arXiv:1811.08180","https://arxiv.org/abs/1811.08180","gan_cnn; frequency","Learned per-model GAN fingerprints for attribution and detection"
C05,"Do GANs leave artificial fingerprints?","Marra et al.",2019,"IEEE MIPR 2019","arXiv:1812.11842","https://arxiv.org/abs/1812.11842","gan_cnn; frequency","PRNU-style noise-residual averaging reveals per-GAN fingerprints"
C06,"Detecting and Simulating Artifacts in GAN Fake Images","Zhang et al.",2019,"IEEE WIFS 2019","arXiv:1907.06515","https://arxiv.org/abs/1907.06515","gan_cnn; frequency","AutoGAN simulates upsampling spectral artefacts; spectrum classifier generalizes to unseen GANs"
C07,"Leveraging Frequency Analysis for Deep Fake Image Recognition","Frank et al.",2020,"ICML 2020","arXiv:2003.08685","https://arxiv.org/abs/2003.08685","gan_cnn; frequency","DCT-domain grid artefacts from upsampling; frequency classifier beats spatial CNNs"
C08,"Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions","Durall et al.",2020,"CVPR 2020","arXiv:2003.01826","https://arxiv.org/abs/2003.01826","gan_cnn; frequency","Transposed-convolution upsampling causes spectral distortions; azimuthal spectrum features detect fakes"
C09,"Global Texture Enhancement for Fake Face Detection in the Wild","Liu et al.",2020,"CVPR 2020","arXiv:2002.00133","https://arxiv.org/abs/2002.00133","gan_cnn","Gram-Net global texture features; cross-GAN and compression-robust detection of GAN face images"
C10,"Detecting GAN generated Fake Images using Co-occurrence Matrices","Nataraj et al.",2019,"IS&T Electronic Imaging (MWSF) 2019","arXiv:1903.06836","https://arxiv.org/abs/1903.06836","gan_cnn; frequency","Steganalysis-style pixel co-occurrence matrices + CNN; >99% on CycleGAN/StarGAN"
C11,"Towards Universal GAN Image Detection","Cozzolino et al.",2021,"IEEE VCIP 2021","arXiv:2112.12606","https://arxiv.org/abs/2112.12606","gan_cnn","Contrastive-learning detector robust to compression/resizing; generalizes to unseen architectures"
C12,"FrePGAN: Robust Deepfake Detection Using Frequency-level Perturbations","Jeong et al.",2022,"AAAI 2022","arXiv:2202.03347","https://arxiv.org/abs/2202.03347","gan_cnn; frequency","Frequency-level perturbation maps prevent overfitting to known-GAN artefacts"
C13,"Detecting GAN-generated Images by Orthogonal Training of Multiple CNNs","Mandelli et al.",2022,"IEEE ICIP 2022","arXiv:2203.02246","https://arxiv.org/abs/2203.02246","gan_cnn","Ensemble of orthogonally trained CNNs generalizes to never-seen StyleGAN3"
C14,"Fusing Global and Local Features for Generalized AI-Synthesized Image Detection","Ju et al.",2022,"IEEE ICIP 2022","arXiv:2203.13964","https://arxiv.org/abs/2203.13964","gan_cnn","Two-branch fusion of whole-image and patch features; evaluated across 19 generation models"
C15,"Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection","Tan et al.",2023,"CVPR 2023","doi:10.1109/CVPR52729.2023.01165","https://openaccess.thecvf.com/content/CVPR2023/html/Tan_Learning_on_Gradients_Generalized_Artifacts_Representation_for_GAN-Generated_Images_Detection_CVPR_2023_paper.html","gan_cnn","LGrad: pretrained-CNN gradients as generalized artefact representation; DOI confirmed 8 Aug 2026, no arXiv version, CVF pp. 12105-12114"
C16,"Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection","Tan et al.",2024,"CVPR 2024","arXiv:2312.10461","https://arxiv.org/abs/2312.10461","gan_cnn; frequency; diffusion","NPR neighboring-pixel relationships capture upsampling artefacts; tested on 28 GAN and diffusion generators"
C17,"Unmasking DeepFakes with simple Features","Durall et al.",2019,"arXiv preprint (well-cited)","arXiv:1911.00686","https://arxiv.org/abs/1911.00686","frequency","1D azimuthally-averaged Fourier spectrum + classical classifier; near-perfect on high-res fake faces"
C18,"Fourier Spectrum Discrepancies in Deep Network Generated Images","Dzanic et al.",2020,"NeurIPS 2020","arXiv:1911.06465","https://arxiv.org/abs/1911.06465","frequency","High-frequency Fourier decay statistics separate GAN/VAE images from real photos"
C19,"A Closer Look at Fourier Spectrum Discrepancies for CNN-generated Images Detection","Chandrasegaran et al.",2021,"CVPR 2021","arXiv:2103.17195","https://arxiv.org/abs/2103.17195","frequency","Counter-analysis: high-frequency spectral discrepancies are not an inherent GAN flaw; key caveat for frequency detectors"
C20,"On the Frequency Bias of Generative Models","Schwarz et al.",2021,"NeurIPS 2021","arXiv:2111.02447","https://arxiv.org/abs/2111.02447","frequency","Dissects sources of high-frequency spectral artefacts in generators; grounds when frequency cues vanish"
C21,"BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection","Jeong et al.",2022,"WACV 2022","arXiv:2109.00911","https://arxiv.org/abs/2109.00911","frequency","Bilateral high-pass filtering amplifies frequency artefacts; improves cross-domain generalization"
C22,"Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Learning","Tan et al.",2024,"AAAI 2024","arXiv:2403.07240","https://arxiv.org/abs/2403.07240","frequency","FreqNet: high-frequency representation learning across 17 GANs; cross-generator gains with fewer parameters"
C23,"Towards the Detection of Diffusion Model Deepfakes","Ricker et al.",2024,"VISAPP 2024","arXiv:2210.14571","https://arxiv.org/abs/2210.14571","frequency; diffusion","GAN-trained detectors degrade on diffusion images; diffusion models leave weaker but present frequency artefacts"
C24,"On the detection of synthetic images generated by diffusion models","Corvi et al.",2023,"IEEE ICASSP 2023","arXiv:2211.00680","https://arxiv.org/abs/2211.00680","gan_cnn; frequency; diffusion; datasets","First systematic test of GAN-era detectors on diffusion images incl. compression/resizing conditions"
C25,"DIRE for Diffusion-Generated Image Detection","Wang et al.",2023,"ICCV 2023","arXiv:2303.09295","https://arxiv.org/abs/2303.09295","diffusion; datasets","Diffusion reconstruction error (DIRE); generalizes to unseen diffusion models; DiffusionForensics dataset"
C26,"DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models","Sha et al.",2023,"ACM CCS 2023","arXiv:2210.06998","https://dl.acm.org/doi/10.1145/3576915.3616588","diffusion; vit_clip","Hybrid image+prompt detector and attributor for text-to-image models"
C27,"Exposing the Fake: Effective Diffusion-Generated Images Detection","Ma et al.",2023,"AdvML-Frontiers Workshop @ ICML 2023","arXiv:2307.06272","https://arxiv.org/abs/2307.06272","diffusion","SeDID: stepwise error between reverse and denoise diffusion samples as detection signal"
C28,"AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error","Ricker et al.",2024,"CVPR 2024","arXiv:2401.17879","https://arxiv.org/abs/2401.17879","diffusion","Training-free LDM autoencoder reconstruction error; works on Stable Diffusion and Midjourney"
C29,"LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection","Luo et al.",2024,"CVPR 2024","arXiv:2403.17465","https://arxiv.org/abs/2403.17465","diffusion","Latent-space reconstruction error; large accuracy gain across 8 generators on GenImage"
C30,"Intriguing properties of synthetic images: from generative adversarial networks to diffusion models","Corvi et al.",2023,"CVPR Workshops (WMF) 2023","arXiv:2304.06408","https://arxiv.org/abs/2304.06408","diffusion","Fourier/autocorrelation artefact analysis contrasting GAN vs diffusion fingerprints"
C31,"Fake or JPEG? Revealing Common Biases in Generated Image Detection Datasets","Grommelt et al.",2024,"ECCV 2024 Workshops","arXiv:2403.17608","https://arxiv.org/abs/2403.17608","diffusion; datasets","JPEG-compression and image-size biases in detection datasets inflate results; dataset-bias caveat"
