fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0007,1.0
0.0,0.0028,0.9999999
0.0,0.0043,0.99999976
0.0,0.0048,0.99999964
0.0,0.0059,0.9999995
0.0,0.0073,0.9999994
0.0,0.0093,0.9999993
0.0,0.0099,0.99999917
0.0,0.0108,0.99999905
0.0,0.0122,0.9999989
0.0,0.013,0.9999988
0.0,0.0136,0.9999987
0.0,0.0148,0.99999857
0.0,0.0157,0.99999845
0.0,0.0169,0.99999833
0.0,0.018,0.9999982
0.0,0.0188,0.9999981
0.0,0.0194,0.999998
0.0,0.0207,0.99999785
0.0,0.0219,0.9999976
0.0,0.0226,0.9999975
0.0,0.0236,0.9999974
0.0,0.0242,0.99999726
0.0,0.0251,0.99999714
0.0,0.0254,0.999997
0.0,0.0264,0.9999969
0.0,0.0271,0.9999968
0.0,0.0277,0.99999666
0.0,0.0287,0.99999654
0.0,0.0291,0.9999964
0.0,0.0297,0.9999963
0.0,0.0304,0.9999962
0.0,0.0308,0.99999607
0.0,0.0319,0.99999595
0.0,0.0327,0.9999958
0.0,0.0328,0.9999957
0.0,0.033,0.9999956
0.0,0.0336,0.99999547
0.0,0.0343,0.99999535
0.0,0.0347,0.99999523
0.0,0.0359,0.999995
0.0,0.0364,0.9999949
0.0,0.0366,0.99999475
0.0,0.0374,0.99999464
0.0,0.038,0.9999945
0.0,0.0384,0.9999944
0.0,0.0391,0.9999943
0.0,0.0395,0.99999416
0.0,0.0398,0.99999404
0.0,0.0406,0.9999939
0.0,0.041,0.9999937
0.0,0.0413,0.99999356
0.0,0.0422,0.99999344
0.0,0.0424,0.9999933
0.0,0.0436,0.9999931
0.0,0.0446,0.99999285
0.0,0.0449,0.9999927
0.0,0.0457,0.9999925
0.0,0.0464,0.9999924
0.0,0.0467,0.99999225
0.0,0.0473,0.99999213
0.0,0.0475,0.999992
0.0,0.0479,0.9999919
0.0,0.0485,0.9999918
0.0,0.0487,0.99999166
0.0,0.0496,0.9999913
0.0,0.0503,0.9999912
0.0,0.0507,0.99999106
0.0,0.0513,0.9999908
0.0,0.0517,0.9999907
0.0,0.0529,0.9999902
0.0,0.053,0.9999901
0.0,0.0534,0.99999
0.0,0.0537,0.99998987
0.0,0.0539,0.99998975
0.0,0.0542,0.9999896
0.0,0.0546,0.9999895
0.0,0.0552,0.9999894
0.0,0.0556,0.9999893
0.0,0.0557,0.99998915
