epoch,train_loss,train_acc,val_loss,val_acc
1,0.215554,0.911333,0.122390,0.955300
2,0.108776,0.959378,0.095602,0.964600
3,0.082996,0.968944,0.081705,0.968900
4,0.066575,0.975733,0.078754,0.970700
5,0.053836,0.980722,0.072089,0.973100
6,0.045254,0.984311,0.066740,0.974800
7,0.035667,0.987656,0.063865,0.976400
8,0.029384,0.989900,0.066221,0.975600
9,0.025729,0.991367,0.066689,0.976400
10,0.020403,0.993322,0.070082,0.975500
11,0.016998,0.994656,0.066193,0.977100
12,0.014236,0.995811,0.066027,0.978200
