fpr,tpr,threshold
0.0,0.0,inf
0.0,0.018,1.0
0.0,0.0367,0.9999999
0.0,0.0493,0.99999976
0.0,0.0584,0.99999964
0.0,0.0672,0.9999995
0.0,0.0753,0.9999994
0.0,0.0814,0.9999993
0.0,0.0878,0.99999917
0.0,0.099,0.9999989
0.0,0.104,0.9999988
0.0,0.1094,0.9999987
0.0,0.114,0.99999857
0.0,0.1196,0.99999845
0.0,0.1234,0.99999833
0.0,0.1263,0.9999982
0.0,0.1287,0.9999981
0.0,0.1326,0.999998
0.0,0.1362,0.99999785
0.0,0.1391,0.99999774
0.0,0.1407,0.9999976
0.0,0.1429,0.9999975
0.0,0.1449,0.9999974
0.0,0.1505,0.99999714
0.0,0.153,0.999997
0.0,0.1557,0.9999969
0.0,0.1576,0.9999968
0.0,0.1605,0.99999666
0.0,0.1625,0.99999654
0.0,0.165,0.9999964
0.0,0.1678,0.9999963
0.0,0.1694,0.9999962
0.0,0.1715,0.99999607
0.0,0.174,0.99999595
0.0,0.1761,0.9999958
0.0,0.1773,0.9999957
0.0,0.1793,0.9999956
0.0,0.1812,0.99999547
0.0,0.1827,0.99999535
0.0,0.1838,0.99999523
0.0,0.1853,0.9999951
0.0,0.1874,0.999995
0.0,0.1889,0.9999949
0.0,0.1909,0.99999475
0.0,0.1926,0.99999464
0.0,0.1937,0.9999945
0.0,0.1947,0.9999944
0.0,0.1964,0.9999943
0.0,0.1976,0.99999416
0.0,0.1991,0.99999404
0.0,0.2008,0.9999939
0.0,0.2028,0.9999938
0.0,0.2039,0.9999937
0.0,0.2049,0.99999356
0.0,0.2068,0.99999344
0.0,0.2079,0.9999933
0.0,0.2095,0.9999932
0.0,0.2109,0.9999931
0.0,0.2131,0.99999285
0.0,0.2144,0.9999927
0.0,0.2168,0.9999925
0.0,0.2183,0.9999924
0.0,0.2201,0.99999225
0.0,0.2216,0.99999213
0.0,0.2225,0.999992
0.0,0.2245,0.9999918
0.0,0.2257,0.99999166
0.0,0.2261,0.99999154
0.0,0.2268,0.9999914
0.0,0.228,0.9999913
0.0,0.2297,0.9999912
0.0,0.2311,0.99999106
0.0,0.2333,0.9999908
0.0,0.2343,0.9999907
0.0,0.2352,0.9999906
0.0,0.236,0.99999046
0.0,0.2373,0.99999034
0.0,0.2383,0.9999902
0.0,0.2391,0.9999901
0.0,0.2406,0.99999
0.0,0.2409,0.99998987
0.0,0.2421,0.99998975
0.0,0.2445,0.9999894
0.0,0.2452,0.9999893
0.0,0.246,0.99998915
0.0,0.2466,0.99998903
0.0,0.2478,0.9999889
0.0,0.2486,0.9999888
0.0,0.2495,0.9999887
0.0,0.2503,0.99998856
0.0,0.2513,0.99998844
0.0,0.252,0.9999883
0.0,0.2528,0.9999882
0.0,0.2538,0.9999881
0.0,0.2556,0.99998796
0.0,0.2562,0.99998784
0.0,0.2567,0.9999877
0.0,0.2576,0.9999876
0.0,0.2584,0.99998736
0.0,0.26,0.9999871
0.0,0.2605,0.999987
0.0,0.2612,0.9999869
0.0,0.2617,0.99998677
0.0,0.2628,0.99998665
0.0,0.2634,0.9999865
0.0,0.2641,0.9999864
0.0,0.2652,0.9999863
0.0,0.2656,0.9999862
0.0,0.2666,0.99998605
0.0,0.2678,0.99998593
0.0,0.2683,0.9999858
0.0,0.2691,0.9999857
0.0,0.2696,0.9999856
0.0,0.2704,0.99998546
0.0,0.2713,0.99998534
0.0,0.272,0.9999852
0.0,0.2724,0.9999851
0.0,0.2736,0.999985
0.0,0.274,0.99998486
0.0,0.2748,0.99998474
0.0,0.2754,0.9999846
0.0,0.277,0.9999844
0.0,0.2775,0.99998426
0.0,0.2784,0.99998415
0.0,0.2796,0.9999839
0.0,0.2803,0.9999838
0.0,0.2809,0.99998367
0.0,0.2816,0.99998355
0.0,0.2826,0.99998343
0.0,0.2834,0.9999833
0.0,0.2843,0.9999832
0.0,0.2851,0.9999831
0.0,0.2857,0.99998295
0.0,0.2866,0.99998283
0.0,0.2873,0.9999827
0.0,0.2875,0.9999826
0.0,0.2882,0.9999825
0.0,0.2886,0.99998236
0.0,0.2895,0.999982
0.0,0.2903,0.9999819
0.0,0.291,0.99998176
0.0,0.292,0.9999815
0.0,0.2926,0.9999814
0.0,0.2934,0.9999813
0.0,0.2938,0.99998116
0.0,0.2941,0.99998105
0.0,0.2951,0.9999809
0.0,0.2956,0.9999808
0.0,0.296,0.9999807
0.0,0.2966,0.99998057
0.0,0.2968,0.99998045
0.0,0.2975,0.99998033
0.0,0.2985,0.9999802
0.0,0.2988,0.9999801
0.0,0.2996,0.99998
0.0,0.3,0.99997973
0.0,0.3004,0.9999796
0.0,0.3007,0.9999795
0.0,0.3017,0.9999794
0.0,0.3021,0.99997926
0.0,0.3031,0.99997914
0.0,0.3036,0.999979
0.0,0.304,0.9999789
0.0,0.305,0.99997866
0.0,0.3052,0.99997854
0.0,0.3056,0.9999784
0.0,0.3058,0.9999782
0.0,0.3061,0.99997807
0.0,0.3063,0.99997795
0.0,0.3066,0.9999778
0.0,0.3071,0.9999777
0.0,0.3073,0.9999776
0.0,0.308,0.99997747
0.0,0.3088,0.99997735
0.0,0.3093,0.99997723
0.0,0.3101,0.9999771
0.0,0.3111,0.9999769
0.0,0.3117,0.99997675
0.0,0.3129,0.9999764
0.0,0.3134,0.9999763
0.0,0.314,0.99997604
0.0,0.3148,0.9999758
0.0,0.316,0.99997556
0.0,0.3171,0.99997544
0.0,0.3175,0.9999753
0.0,0.3182,0.9999752
0.0,0.3183,0.9999751
0.0,0.319,0.99997497
0.0,0.3192,0.99997485
0.0,0.3199,0.9999747
0.0,0.3208,0.99997437
0.0,0.3219,0.99997425
0.0,0.3221,0.99997413
0.0,0.3225,0.999974
0.0,0.3228,0.9999739
0.0,0.3232,0.9999738
0.0,0.3237,0.99997365
0.0,0.3251,0.9999734
0.0,0.3257,0.9999733
0.0,0.3261,0.9999732
0.0,0.3267,0.99997306
0.0,0.3271,0.99997294
0.0,0.3277,0.9999728
0.0,0.3285,0.9999726
0.0,0.3297,0.99997234
0.0,0.33,0.9999722
0.0,0.3302,0.9999721
0.0,0.3307,0.999972
0.0,0.331,0.99997187
0.0,0.332,0.9999716
0.0,0.3322,0.9999715
0.0,0.3325,0.9999714
0.0,0.3332,0.9999713
0.0,0.3335,0.99997115
0.0,0.3343,0.99997103
0.0,0.3348,0.9999709
0.0,0.336,0.99997056
0.0,0.3364,0.9999703
0.0,0.3367,0.9999702
0.0,0.3369,0.9999701
0.0,0.3375,0.99996996
0.0,0.3379,0.99996984
0.0,0.3382,0.9999697
0.0,0.3386,0.9999696
0.0,0.3393,0.9999695
0.0,0.3395,0.99996936
0.0,0.3398,0.99996924
0.0,0.34,0.9999691
0.0,0.3405,0.999969
0.0,0.3407,0.9999689
0.0,0.3413,0.99996865
0.0,0.3414,0.9999685
0.0,0.3419,0.9999684
0.0,0.3422,0.9999683
0.0,0.3424,0.9999682
0.0,0.3433,0.9999678
0.0,0.3437,0.9999677
0.0,0.3439,0.9999676
0.0,0.3457,0.9999672
0.0,0.3465,0.9999671
0.0,0.347,0.999967
0.0,0.3471,0.99996686
0.0,0.3477,0.9999665
0.0,0.3485,0.99996626
0.0,0.349,0.99996614
0.0,0.3493,0.999966
0.0,0.35,0.9999659
0.0,0.3502,0.9999658
0.0,0.3508,0.99996555
0.0,0.3513,0.9999654
0.0,0.3519,0.9999652
0.0,0.3527,0.99996495
0.0,0.3528,0.99996483
0.0,0.3536,0.9999647
0.0,0.3538,0.9999646
0.0,0.3541,0.9999645
0.0,0.3545,0.99996436
0.0,0.3547,0.99996424
0.0,0.3551,0.9999641
0.0,0.3555,0.9999639
0.0,0.3559,0.99996376
0.0,0.356,0.99996364
0.0,0.3565,0.9999635
0.0,0.3567,0.9999634
0.0,0.3572,0.9999633
0.0,0.3574,0.99996316
0.0,0.3579,0.99996305
0.0,0.3583,0.9999629
0.0,0.3586,0.9999628
0.0,0.3588,0.9999627
0.0,0.3589,0.99996257
0.0,0.3593,0.99996245
0.0,0.3594,0.99996233
0.0,0.3596,0.9999622
0.0,0.3605,0.99996173
0.0,0.3606,0.9999616
0.0,0.3609,0.9999615
0.0,0.361,0.9999614
0.0,0.3615,0.99996126
0.0,0.3618,0.99996114
0.0,0.3622,0.999961
0.0,0.3625,0.9999609
0.0,0.3629,0.9999608
0.0,0.3631,0.99996066
0.0,0.3634,0.99996054
0.0,0.3638,0.9999604
0.0,0.3641,0.9999603
0.0,0.3649,0.9999598
0.0,0.3653,0.9999597
0.0,0.3658,0.9999596
0.0,0.3664,0.99995947
0.0,0.3668,0.99995935
0.0,0.3672,0.9999591
0.0,0.3677,0.999959
0.0,0.3679,0.9999589
0.0,0.3683,0.99995875
0.0,0.3684,0.99995863
0.0,0.3686,0.9999585
0.0,0.3687,0.9999584
0.0,0.3689,0.9999583
0.0,0.3693,0.99995804
0.0,0.3695,0.9999579
0.0,0.3699,0.9999578
0.0,0.37,0.9999577
0.0,0.3703,0.99995756
0.0,0.3705,0.9999573
0.0,0.3712,0.9999572
0.0,0.3716,0.9999571
0.0,0.3717,0.99995697
0.0,0.3719,0.99995685
0.0,0.3722,0.9999566
0.0,0.3724,0.99995637
0.0,0.3726,0.99995625
0.0,0.3729,0.99995613
0.0,0.3733,0.9999558
0.0,0.3739,0.99995553
0.0,0.3741,0.9999554
0.0,0.3745,0.9999552
0.0,0.3751,0.99995494
0.0,0.3752,0.9999548
0.0,0.3755,0.9999547
0.0,0.3759,0.99995446
0.0,0.3764,0.99995434
0.0,0.3765,0.9999542
