epoch,train_loss,train_acc,val_loss,val_acc
1,0.643053,0.826967,0.390011,0.873700
2,0.334468,0.886989,0.332444,0.885700
3,0.270543,0.902967,0.262175,0.902600
4,0.236997,0.911622,0.244550,0.907900
5,0.218212,0.916433,0.230847,0.910800
6,0.204698,0.921411,0.222838,0.914200
7,0.195267,0.923922,0.205271,0.918800
8,0.190719,0.926078,0.200634,0.918500
9,0.184710,0.927244,0.209632,0.916200
10,0.180669,0.928911,0.196898,0.920600
11,0.178166,0.929489,0.190985,0.920800
12,0.177368,0.931167,0.188641,0.923000
13,0.175739,0.930711,0.198097,0.920800
14,0.173558,0.931978,0.199414,0.920000
15,0.172382,0.932056,0.188011,0.925100
16,0.171706,0.932267,0.187369,0.923400
17,0.170745,0.933178,0.186147,0.923900
18,0.170585,0.932667,0.188668,0.920400
19,0.169770,0.932722,0.184938,0.923400
20,0.169392,0.933044,0.183848,0.925400
21,0.168385,0.933867,0.188478,0.921700
22,0.168476,0.933456,0.184538,0.925100
23,0.168358,0.933756,0.187638,0.922600
24,0.168155,0.933478,0.187886,0.921100
25,0.169357,0.933067,0.183520,0.926700
26,0.168117,0.933844,0.192043,0.925400
27,0.167540,0.933844,0.183470,0.925200
28,0.167990,0.934344,0.183754,0.926700
29,0.167087,0.934200,0.182485,0.926700
30,0.167116,0.934244,0.184902,0.924800
31,0.166246,0.934722,0.199399,0.921700
32,0.167578,0.933778,0.189583,0.920300
33,0.166807,0.934467,0.183901,0.928000
34,0.168986,0.933856,0.185226,0.927900
