fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0003,1.0
0.0,0.0015,0.99999976
0.0,0.0018,0.99999964
0.0,0.0023,0.9999995
0.0,0.0029,0.9999994
0.0,0.0033,0.9999993
0.0,0.0038,0.99999917
0.0,0.004,0.9999989
0.0,0.0044,0.9999988
0.0,0.0053,0.99999845
0.0,0.0057,0.99999833
0.0,0.0062,0.9999982
0.0,0.0065,0.9999981
0.0,0.0066,0.999998
0.0,0.0068,0.99999785
0.0,0.0071,0.99999774
0.0,0.0072,0.9999976
0.0,0.0075,0.9999975
0.0,0.0079,0.99999726
0.0,0.0083,0.99999714
0.0,0.0084,0.999997
0.0,0.0088,0.99999666
0.0,0.0096,0.9999964
0.0,0.0099,0.9999963
0.0,0.0103,0.99999595
0.0,0.0109,0.9999957
0.0,0.011,0.9999956
0.0,0.0113,0.99999547
0.0,0.0117,0.99999535
0.0,0.012,0.99999523
0.0,0.0121,0.9999951
0.0,0.0123,0.999995
0.0,0.0126,0.99999475
0.0,0.013,0.9999944
0.0,0.0133,0.99999416
0.0,0.0135,0.99999404
0.0,0.0136,0.9999939
0.0,0.0144,0.99999344
0.0,0.0148,0.9999933
0.0,0.0154,0.9999932
0.0,0.0158,0.9999927
0.0,0.016,0.9999926
0.0,0.0168,0.9999925
0.0,0.017,0.9999924
0.0,0.0171,0.99999225
0.0,0.0174,0.99999213
0.0,0.0176,0.999992
0.0,0.0179,0.99999154
0.0,0.0181,0.9999914
0.0,0.0182,0.9999913
0.0,0.0186,0.99999106
0.0,0.0188,0.9999908
0.0,0.0191,0.9999907
0.0,0.0195,0.9999906
0.0,0.0201,0.99998987
0.0,0.0205,0.99998975
0.0,0.0209,0.9999894
0.0,0.021,0.9999893
0.0,0.0214,0.99998903
0.0,0.022,0.9999888
0.0,0.0221,0.9999887
0.0,0.0225,0.99998844
0.0,0.0226,0.9999882
0.0,0.0228,0.99998796
0.0,0.0232,0.99998784
0.0,0.0233,0.9999877
0.0,0.0236,0.9999876
0.0,0.0238,0.99998736
0.0,0.0242,0.99998724
0.0,0.0243,0.9999871
0.0,0.0246,0.9999869
0.0,0.0248,0.99998665
0.0,0.0249,0.9999863
0.0,0.0251,0.9999862
0.0,0.0252,0.99998605
0.0,0.0254,0.99998593
0.0,0.0258,0.9999857
0.0,0.0262,0.999985
0.0,0.0266,0.99998486
0.0,0.0268,0.99998474
0.0,0.027,0.9999845
0.0,0.0278,0.99998415
0.0,0.028,0.999984
0.0,0.0281,0.9999839
0.0,0.0283,0.99998367
0.0,0.0286,0.99998343
0.0,0.0292,0.9999831
0.0,0.0293,0.99998295
0.0,0.0295,0.99998283
0.0,0.0296,0.9999826
0.0,0.0299,0.9999825
0.0,0.0301,0.99998236
0.0,0.0302,0.9999821
0.0,0.0304,0.999982
0.0,0.0307,0.99998164
0.0,0.0313,0.99998105
0.0,0.0314,0.9999809
0.0,0.0317,0.9999808
0.0,0.0318,0.99998057
0.0,0.0321,0.99998045
0.0,0.0324,0.9999801
0.0,0.0327,0.99998
0.0,0.033,0.9999794
0.0,0.0332,0.99997926
0.0,0.0335,0.99997914
0.0,0.0336,0.9999789
0.0,0.0338,0.99997866
0.0,0.0341,0.99997854
0.0,0.0343,0.9999778
0.0,0.0345,0.9999777
0.0,0.0346,0.9999776
0.0,0.0348,0.99997747
0.0,0.0349,0.99997723
0.0,0.0352,0.9999771
0.0,0.0353,0.999977
0.0,0.0355,0.9999769
0.0,0.0357,0.99997663
0.0,0.0361,0.9999764
0.0,0.0362,0.9999763
0.0,0.0364,0.99997604
0.0,0.0365,0.9999759
0.0,0.0368,0.9999758
0.0,0.0377,0.99997437
0.0,0.0379,0.99997413
0.0,0.0381,0.99997354
0.0,0.0383,0.9999734
0.0,0.0389,0.9999726
0.0,0.0393,0.99997234
0.0,0.0396,0.99997175
0.0,0.0398,0.9999716
0.0,0.04,0.9999713
0.0,0.0403,0.99997115
0.0,0.0404,0.99997103
0.0,0.0406,0.9999709
0.0,0.0407,0.9999708
0.0,0.0409,0.9999707
0.0,0.0411,0.9999703
0.0,0.0415,0.99996996
0.0,0.0416,0.99996984
0.0,0.0418,0.9999697
0.0,0.0419,0.9999695
0.0,0.0421,0.9999691
0.0,0.0424,0.99996877
0.0,0.0428,0.9999678
0.0,0.0431,0.9999677
0.0,0.0432,0.9999676
0.0,0.0434,0.99996746
0.0,0.0437,0.99996734
0.0,0.0439,0.9999672
0.0,0.044,0.9999671
0.0,0.0443,0.999967
0.0,0.0445,0.99996686
0.0,0.0446,0.99996674
0.0,0.0452,0.9999664
0.0,0.0455,0.9999658
0.0,0.0459,0.9999653
0.0,0.046,0.99996483
0.0,0.0462,0.9999647
0.0,0.0465,0.9999646
0.0,0.0466,0.9999645
0.0,0.0469,0.99996436
0.0,0.0472,0.9999634
0.0,0.0475,0.9999633
0.0,0.0479,0.9999628
0.0,0.0485,0.99996257
0.0,0.0486,0.99996233
0.0,0.0488,0.9999622
0.0,0.049,0.99996185
0.0,0.0494,0.9999616
0.0,0.0496,0.9999615
0.0,0.0499,0.99996114
0.0,0.0503,0.999961
0.0,0.0512,0.9999604
0.0,0.0516,0.99995995
