epoch,train_loss,train_acc,val_loss,val_acc
1,0.319392,0.917300,0.172720,0.949500
2,0.110568,0.964100,0.124346,0.961200
3,0.066581,0.976200,0.108165,0.965200
4,0.045983,0.983333,0.101139,0.966500
5,0.031477,0.988122,0.094994,0.971300
6,0.025075,0.991333,0.091966,0.971400
7,0.018588,0.993478,0.093912,0.971200
8,0.014899,0.994822,0.093824,0.974200
9,0.012934,0.995856,0.092027,0.973500
10,0.010950,0.996667,0.091461,0.973300
11,0.009287,0.996922,0.090676,0.974500
12,0.008255,0.997500,0.090310,0.974800
13,0.006910,0.998144,0.090003,0.974700
14,0.005850,0.998367,0.091840,0.974000
15,0.005773,0.998378,0.089013,0.975000
16,0.005061,0.998556,0.090476,0.975000
17,0.004535,0.998800,0.091984,0.975400
18,0.004118,0.998989,0.090070,0.974400
19,0.003939,0.999078,0.089721,0.976000
20,0.003928,0.998989,0.089971,0.975400
