fpr,tpr,threshold
0.0,0.0,inf
0.0002,0.4612,1.0
0.0002,0.506,0.9999999
0.0002,0.5295,0.99999976
0.0002,0.5448,0.99999964
0.0002,0.5576,0.9999995
0.0002,0.5708,0.9999993
0.0002,0.5775,0.99999917
0.0002,0.5833,0.99999905
0.0002,0.5887,0.9999989
0.0002,0.5926,0.9999988
0.0002,0.5975,0.9999987
0.0002,0.6005,0.99999857
0.0002,0.6043,0.99999845
0.0002,0.608,0.99999833
0.0002,0.6111,0.9999982
0.0002,0.6144,0.9999981
0.0002,0.6175,0.999998
0.0002,0.6203,0.99999785
0.0002,0.6225,0.99999774
0.0003,0.6243,0.9999976
0.0003,0.6269,0.9999975
0.0003,0.6293,0.9999974
0.0003,0.6312,0.99999726
0.0003,0.6325,0.99999714
0.0003,0.6335,0.999997
0.0003,0.6349,0.9999969
0.0003,0.6361,0.9999968
0.0003,0.6382,0.99999666
0.0003,0.639,0.99999654
0.0003,0.6399,0.9999964
0.0003,0.6412,0.9999963
0.0004,0.6421,0.9999962
0.0004,0.6433,0.99999607
0.0004,0.6459,0.9999958
0.0004,0.6465,0.9999957
0.0004,0.648,0.9999956
0.0004,0.6487,0.99999547
0.0004,0.6499,0.99999535
0.0004,0.6506,0.99999523
0.0004,0.6516,0.9999951
0.0004,0.6546,0.9999949
0.0004,0.6557,0.99999475
0.0004,0.6571,0.99999464
0.0004,0.6579,0.9999945
0.0004,0.6601,0.9999943
0.0004,0.6611,0.99999416
0.0004,0.6618,0.99999404
0.0004,0.663,0.9999939
0.0004,0.6639,0.9999938
0.0004,0.6649,0.9999937
0.0004,0.6665,0.99999344
0.0004,0.6674,0.9999933
0.0004,0.6679,0.9999932
0.0004,0.67,0.99999285
0.0004,0.6706,0.9999927
0.0004,0.6714,0.9999926
0.0004,0.6721,0.9999925
0.0004,0.6734,0.9999924
0.0004,0.674,0.99999225
0.0004,0.6749,0.99999213
0.0004,0.6751,0.999992
0.0004,0.6756,0.9999919
0.0004,0.676,0.9999918
0.0004,0.6769,0.99999166
0.0004,0.6771,0.99999154
0.0004,0.6778,0.9999914
0.0004,0.6784,0.9999913
0.0005,0.6788,0.9999912
0.0005,0.6797,0.99999106
0.0006,0.6799,0.99999094
0.0006,0.6801,0.9999908
0.0006,0.6815,0.9999906
0.0006,0.6817,0.99999046
0.0006,0.6823,0.99999034
0.0006,0.6827,0.9999902
0.0006,0.6829,0.9999901
0.0006,0.6838,0.99999
0.0006,0.684,0.99998987
0.0006,0.6843,0.99998975
0.0006,0.6849,0.9999896
0.0006,0.6857,0.9999895
0.0006,0.6861,0.9999894
0.0006,0.6867,0.9999893
0.0006,0.6875,0.99998903
0.0006,0.6882,0.9999889
0.0006,0.6885,0.9999888
0.0006,0.6889,0.9999887
0.0006,0.6903,0.99998844
0.0006,0.6906,0.9999883
0.0006,0.691,0.9999881
0.0006,0.6918,0.99998796
0.0006,0.6922,0.99998784
0.0006,0.6924,0.9999875
0.0006,0.6926,0.99998736
0.0006,0.6931,0.99998724
0.0006,0.6935,0.9999871
0.0006,0.6941,0.9999869
0.0006,0.6943,0.99998677
0.0006,0.6953,0.9999865
0.0006,0.6957,0.9999864
0.0006,0.6959,0.9999863
0.0006,0.6962,0.9999862
0.0006,0.697,0.99998593
0.0007,0.6974,0.9999858
0.0007,0.6982,0.9999857
0.0007,0.6988,0.99998546
0.0007,0.6993,0.99998534
0.0007,0.6996,0.9999852
0.0007,0.6998,0.9999851
0.0007,0.7001,0.999985
0.0007,0.7005,0.99998486
0.0007,0.701,0.99998474
0.0007,0.7018,0.99998426
0.0007,0.7023,0.99998415
0.0007,0.7026,0.9999839
0.0007,0.7038,0.99998367
0.0007,0.7044,0.99998343
0.0007,0.7048,0.9999833
0.0007,0.7051,0.9999832
0.0007,0.7055,0.99998295
0.0007,0.7059,0.99998283
0.0007,0.7061,0.9999827
0.0007,0.7065,0.9999826
0.0007,0.7067,0.99998236
0.0007,0.7071,0.99998224
0.0007,0.7074,0.9999821
0.0007,0.7075,0.999982
0.0007,0.7079,0.99998176
0.0007,0.7083,0.99998164
0.0007,0.7089,0.9999814
0.0007,0.7093,0.99998116
0.0007,0.7096,0.99998105
0.0007,0.7097,0.9999809
0.0007,0.7101,0.9999807
0.0007,0.7105,0.99998057
0.0007,0.7114,0.9999801
0.0007,0.7116,0.99997973
0.0007,0.712,0.9999794
0.0007,0.7124,0.99997926
0.0007,0.7128,0.9999788
0.0007,0.7133,0.99997866
0.0007,0.7135,0.99997854
0.0007,0.7138,0.9999784
0.0007,0.7142,0.9999783
0.0007,0.7145,0.9999782
0.0007,0.7146,0.99997807
0.0007,0.7149,0.99997795
0.0007,0.715,0.9999778
0.0007,0.7152,0.9999776
0.0007,0.7155,0.99997747
0.0007,0.7159,0.99997723
0.0007,0.7161,0.9999771
0.0007,0.7165,0.999977
0.0007,0.7171,0.99997675
0.0007,0.7173,0.99997663
0.0007,0.7181,0.9999764
0.0007,0.7183,0.9999763
0.0008,0.7188,0.99997616
0.0008,0.7196,0.9999759
0.0008,0.7199,0.9999758
0.0008,0.7203,0.9999757
0.0008,0.7206,0.99997556
0.0008,0.721,0.99997544
0.0008,0.7212,0.9999753
0.0008,0.7215,0.99997497
0.0008,0.722,0.9999747
0.0008,0.7221,0.9999746
0.0008,0.7223,0.9999745
0.0008,0.7224,0.99997437
0.0008,0.7226,0.99997425
0.0008,0.723,0.999974
0.0008,0.7233,0.9999739
0.0008,0.7234,0.9999738
0.0008,0.7236,0.99997365
0.0008,0.7237,0.99997354
0.0008,0.7239,0.9999734
0.0008,0.7241,0.9999732
0.0008,0.7243,0.99997306
0.0008,0.7249,0.99997294
0.0008,0.7254,0.9999728
0.0008,0.7256,0.9999727
0.0008,0.7261,0.9999726
0.0008,0.7267,0.99997234
0.0008,0.7269,0.9999722
0.0008,0.7273,0.999972
0.0008,0.7278,0.99997187
0.0008,0.7279,0.99997175
0.0008,0.7282,0.9999714
0.0008,0.7284,0.9999713
0.0008,0.7287,0.99997103
0.0008,0.7288,0.9999709
0.0008,0.7292,0.9999708
0.0008,0.7295,0.9999703
0.0008,0.7301,0.99996996
0.0008,0.7303,0.9999697
0.0008,0.7304,0.9999696
0.0008,0.7308,0.99996936
0.0008,0.7312,0.99996924
0.0008,0.7314,0.9999691
0.0008,0.7317,0.999969
0.0008,0.7322,0.9999689
0.0008,0.7325,0.99996877
0.0008,0.7327,0.99996865
0.0008,0.733,0.9999685
0.0008,0.7334,0.9999682
0.0008,0.7335,0.99996805
0.0008,0.7337,0.99996793
0.0008,0.7338,0.9999678
0.0008,0.7341,0.9999677
0.0008,0.7343,0.99996746
0.0008,0.7346,0.99996734
0.0008,0.7354,0.999967
0.0008,0.7355,0.99996686
0.0008,0.7359,0.9999666
0.0008,0.7365,0.99996626
0.0008,0.7367,0.9999659
0.0008,0.737,0.9999658
0.0008,0.7372,0.9999654
0.0008,0.7373,0.9999653
0.0008,0.7377,0.9999651
0.0008,0.7378,0.99996483
0.0008,0.738,0.9999647
0.0008,0.7383,0.9999645
0.0008,0.7385,0.9999641
0.0008,0.7389,0.9999635
0.0008,0.7393,0.9999633
0.0008,0.7395,0.9999629
0.0008,0.7398,0.9999628
0.0008,0.74,0.9999627
0.0008,0.7403,0.9999622
0.0008,0.7407,0.99996173
0.0008,0.7408,0.9999616
0.0008,0.7414,0.999961
0.0008,0.7417,0.9999608
0.0008,0.7419,0.99996054
0.0008,0.7423,0.9999604
0.0008,0.7425,0.99996006
0.0008,0.7429,0.9999598
0.0008,0.7432,0.9999591
0.0008,0.7434,0.999959
0.0008,0.7437,0.9999589
0.0008,0.7439,0.99995875
0.0008,0.7443,0.99995816
0.0008,0.7446,0.99995804
0.0008,0.7454,0.99995744
0.0008,0.7456,0.9999571
0.0008,0.7458,0.99995685
0.0008,0.7459,0.9999567
0.0008,0.7461,0.9999566
0.0008,0.7465,0.99995613
0.0008,0.7467,0.999956
0.0008,0.7471,0.9999559
0.0008,0.7473,0.9999554
0.0008,0.7475,0.9999552
0.0008,0.7477,0.99995494
0.0008,0.7479,0.9999546
0.0008,0.7481,0.99995434
0.0008,0.7484,0.9999542
0.0008,0.7486,0.999954
0.0008,0.7488,0.99995387
0.0008,0.7491,0.9999534
0.0008,0.7493,0.99995327
0.0008,0.7495,0.99995303
0.0008,0.7498,0.9999529
0.0008,0.75,0.9999523
0.0008,0.7508,0.9999516
0.0008,0.751,0.99995136
0.0008,0.7512,0.9999511
0.0008,0.7517,0.9999496
0.0008,0.7523,0.999949
0.0009,0.7523,0.99994886
0.0009,0.7533,0.99994826
0.0009,0.7538,0.99994695
0.0009,0.754,0.9999467
0.0009,0.7542,0.9999465
0.0009,0.7548,0.999946
0.0009,0.7551,0.99994516
0.0009,0.7554,0.9999449
0.0009,0.7558,0.9999442
0.0009,0.756,0.999944
0.0009,0.7563,0.9999435
0.0009,0.7565,0.99994326
0.0009,0.7566,0.99994314
0.0009,0.7568,0.9999429
0.0009,0.757,0.9999423
0.0009,0.7574,0.9999417
0.0009,0.7576,0.9999409
0.0009,0.7579,0.9999404
0.0009,0.7581,0.99994004
0.0009,0.7583,0.9999399
0.0009,0.7584,0.9999398
0.0009,0.7586,0.9999397
0.0009,0.7592,0.9999386
0.0009,0.7594,0.99993837
0.0009,0.7596,0.9999373
0.0009,0.7598,0.99993694
0.0009,0.7601,0.9999368
0.0009,0.7603,0.9999361
0.0009,0.7606,0.9999356
0.0009,0.7608,0.9999343
0.0009,0.761,0.99993396
0.0009,0.7613,0.999933
0.0009,0.7629,0.99993
0.0009,0.7631,0.99992955
0.0009,0.7633,0.9999293
0.0009,0.7635,0.9999291
0.0009,0.7638,0.99992764
0.0009,0.7642,0.9999268
0.0009,0.7644,0.99992645
0.0009,0.7646,0.9999261
0.001,0.7647,0.99992526
0.001,0.7652,0.9999243
