fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0001,0.99999917
0.0,0.0005,0.9999974
0.0,0.0007,0.99999714
0.0,0.0008,0.999997
0.0,0.0012,0.9999962
0.0,0.0015,0.9999958
0.0,0.0017,0.99999547
0.0,0.0025,0.99999285
0.0,0.0027,0.9999927
0.0,0.0031,0.9999918
0.0,0.0033,0.99999166
0.0,0.0038,0.99999046
0.0,0.004,0.9999902
0.0,0.0042,0.99998915
0.0,0.0044,0.9999889
0.0,0.0047,0.9999875
0.0,0.005,0.99998724
0.0,0.0055,0.9999856
0.0,0.0059,0.9999851
0.0,0.0065,0.99998426
0.0,0.0069,0.99998343
0.0,0.0073,0.99998164
0.0,0.0077,0.9999813
0.0,0.008,0.99997985
0.0,0.0083,0.9999796
0.0,0.0084,0.9999795
0.0,0.0086,0.9999794
0.0,0.0094,0.99997485
0.0,0.0096,0.99997425
0.0,0.0099,0.9999726
0.0,0.0101,0.99997246
0.0,0.0103,0.9999721
0.0,0.0105,0.999972
0.0,0.0106,0.9999715
0.0,0.0108,0.9999713
0.0,0.0113,0.99996984
0.0,0.0115,0.9999697
0.0,0.0124,0.9999678
0.0,0.0128,0.9999676
0.0,0.0137,0.99996436
0.0,0.0141,0.99996316
0.0,0.0144,0.99996245
0.0,0.0146,0.9999622
0.0,0.015,0.9999603
0.0,0.0152,0.99995947
0.0,0.0162,0.9999527
0.0,0.0165,0.99995255
0.0,0.0178,0.99994826
0.0,0.018,0.99994767
0.0,0.0185,0.99994576
0.0,0.0187,0.99994445
0.0,0.0199,0.9999392
0.0,0.0201,0.99993896
0.0,0.0202,0.999938
0.0,0.0204,0.9999374
0.0,0.0226,0.9999255
0.0,0.0228,0.9999249
0.0,0.0229,0.99992466
0.0,0.0231,0.99992454
0.0,0.0232,0.9999244
0.0,0.0234,0.99992406
0.0,0.024,0.99992156
0.0,0.0244,0.9999213
0.0,0.0248,0.9999187
0.0,0.025,0.9999181
0.0,0.0271,0.999908
0.0,0.0277,0.999907
0.0,0.0278,0.9999069
