epoch,train_loss,train_acc,val_loss,val_acc
1,0.486853,0.794133,0.355515,0.854500
2,0.317356,0.870200,0.287646,0.885600
3,0.261852,0.894600,0.248545,0.898100
4,0.235595,0.905711,0.229841,0.909400
5,0.212917,0.916078,0.212455,0.914900
6,0.199177,0.921533,0.199313,0.919300
7,0.186797,0.926244,0.186701,0.926600
8,0.175954,0.931100,0.181284,0.927400
9,0.167814,0.934267,0.163534,0.936400
10,0.161902,0.937289,0.171809,0.932200
11,0.156717,0.939544,0.158433,0.937800
12,0.150518,0.942222,0.152062,0.940000
13,0.145523,0.944522,0.162592,0.935900
14,0.141666,0.945256,0.141239,0.945700
15,0.137838,0.946744,0.138028,0.946700
16,0.134428,0.948767,0.137382,0.945900
17,0.130485,0.949800,0.136127,0.945800
18,0.128034,0.951078,0.128877,0.949700
19,0.124366,0.953222,0.128508,0.951700
20,0.122399,0.952711,0.127424,0.949800
21,0.119430,0.954289,0.127353,0.949600
22,0.115765,0.955978,0.127033,0.951900
23,0.114757,0.956211,0.123151,0.953200
24,0.111909,0.957667,0.119465,0.952800
25,0.110142,0.957889,0.122575,0.950800
26,0.108873,0.958233,0.120457,0.953100
27,0.105885,0.959456,0.120664,0.953700
28,0.105492,0.960211,0.114740,0.955800
29,0.104119,0.961089,0.115014,0.956400
30,0.100613,0.961856,0.113217,0.956600
