fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0007,1.0
0.0,0.0031,0.9999999
0.0,0.005,0.99999976
0.0,0.0074,0.99999964
0.0,0.0095,0.9999995
0.0,0.0109,0.9999994
0.0,0.0121,0.9999993
0.0,0.0138,0.99999917
0.0,0.0153,0.99999905
0.0,0.0164,0.9999989
0.0,0.0179,0.9999988
0.0,0.02,0.9999987
0.0,0.0206,0.99999857
0.0,0.0217,0.99999845
0.0,0.023,0.99999833
0.0,0.0249,0.9999982
0.0,0.0261,0.9999981
0.0,0.0279,0.999998
0.0,0.0289,0.99999785
0.0,0.03,0.99999774
0.0,0.0312,0.9999976
0.0,0.0319,0.9999975
0.0,0.0329,0.9999974
0.0,0.0347,0.99999714
0.0,0.0354,0.999997
0.0,0.0362,0.9999969
0.0,0.0373,0.9999968
0.0,0.0386,0.99999666
0.0,0.0398,0.99999654
0.0,0.0407,0.9999964
0.0,0.0415,0.9999963
0.0,0.0421,0.9999962
0.0,0.0429,0.99999607
0.0,0.0433,0.99999595
0.0,0.0445,0.9999958
0.0,0.0448,0.9999957
0.0,0.0469,0.99999535
0.0,0.0475,0.99999523
0.0,0.0485,0.9999951
0.0,0.0507,0.9999949
0.0,0.0511,0.99999475
0.0,0.0527,0.9999945
0.0,0.0537,0.9999944
0.0,0.054,0.9999943
0.0,0.0551,0.99999416
0.0,0.0556,0.99999404
0.0,0.0569,0.9999939
0.0,0.0577,0.9999938
0.0,0.0586,0.9999937
0.0,0.0592,0.99999356
0.0,0.0596,0.99999344
0.0,0.0602,0.9999933
0.0,0.0614,0.9999932
0.0,0.0618,0.9999931
0.0,0.062,0.99999297
0.0,0.0628,0.99999285
0.0,0.0634,0.9999927
0.0,0.0641,0.9999926
0.0,0.0645,0.9999925
0.0,0.0647,0.9999924
0.0,0.0654,0.99999225
0.0,0.0664,0.99999213
0.0,0.0666,0.999992
0.0,0.0673,0.9999919
0.0,0.0679,0.9999918
0.0,0.0681,0.99999166
0.0,0.0687,0.99999154
0.0,0.0691,0.9999914
0.0,0.0694,0.9999913
0.0,0.0703,0.9999912
0.0,0.0711,0.99999106
0.0,0.0721,0.99999094
0.0,0.0726,0.9999908
0.0,0.0735,0.9999907
0.0,0.0743,0.99999046
0.0,0.0748,0.99999034
0.0,0.076,0.9999902
0.0,0.0765,0.9999901
0.0,0.0769,0.99999
0.0,0.0772,0.99998987
