run_id,date,config_path,model,mode,seed,split_file,n_train_images,resolution,batch_size,optimizer,lr,weight_decay,max_epochs,best_epoch,early_stopped,stop_reason,train_time_min,total_params,trainable_params,hardware,torch_version,timm_version,val_acc,val_loss,test_acc,test_precision,test_recall,test_f1,test_auc,test_ap
resnet50_fe_20260822-0532,2026-08-22,configs/resnet50_fe.yaml,resnet50,fe,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.01,0.0,30,30,False,max_epochs,120.00,23512130,4098,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.930100,0.179957,0.928300,0.920727,0.937300,0.928940,0.980733,0.981002
resnet50_ft_20260822-0734,2026-08-22,configs/resnet50_ft.yaml,resnet50,ft,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.001,0.0,30,30,False,max_epochs,190.14,23512130,23512130,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.956600,0.113217,0.959300,0.954123,0.965000,0.959531,0.992500,0.992376
densenet121_fe_20260822-1534,2026-08-22,configs/densenet121_fe.yaml,densenet121,fe,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.01,0.0,30,4,True,early_stopping,41.40,6955906,2050,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.935900,0.165579,0.934850,0.912141,0.962400,0.936597,0.984848,0.984801
densenet121_ft_20260822-1617,2026-08-22,configs/densenet121_ft.yaml,densenet121,ft,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.001,0.0,30,7,True,early_stopping,94.80,6955906,6955906,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.976400,0.063865,0.976000,0.974482,0.977600,0.976038,0.997238,0.997221
efficientnet_b0_fe_20260823-0248,2026-08-23,configs/efficientnet_b0_fe.yaml,efficientnet_b0,fe,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.01,0.0,30,29,False,max_epochs,97.61,4010110,2562,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.926700,0.182485,0.928650,0.927325,0.930200,0.928760,0.980167,0.980383
efficientnet_b0_ft_20260823-0427,2026-08-23,configs/efficientnet_b0_ft.yaml,efficientnet_b0,ft,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.001,0.0,30,15,True,early_stopping,85.19,4010110,4010110,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.975000,0.089013,0.975550,0.977316,0.973700,0.975505,0.997125,0.996974
vit_base_patch16_224_fe_20260823-0553,2026-08-23,configs/vit_base_patch16_224_fe.yaml,vit_base_patch16_224,fe,42,data/cifake_split_seed42.csv,90000,224,64,adamw,0.001,0.0,30,6,True,early_stopping,68.79,85800194,1538,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.946200,0.140538,0.947450,0.938892,0.957200,0.947957,0.988140,0.987826
vgg19_fe_20260823-1605,2026-08-23,configs/vgg19_fe.yaml,vgg19,fe,42,data/cifake_split_seed42.csv,90000,224,64,sgd,0.01,0.0,30,8,True,early_stopping,76.12,139578434,8194,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.905400,0.248665,0.905450,0.908349,0.901900,0.905113,0.966859,0.966508
vgg19_ft_20260824-0047,2026-08-24,configs/vgg19_ft.yaml,vgg19,ft,42,data/cifake_split_seed42.csv,90000,224,64,sgd,0.001,0.0,30,9,True,early_stopping,216.02,139578434,139578434,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.981900,0.059056,0.979100,0.978430,0.979800,0.979115,0.997863,0.997871
vit_base_patch16_224_ft_20260825-1522,2026-08-25,configs/vit_base_patch16_224_ft.yaml,vit_base_patch16_224,ft,42,data/cifake_split_seed42.csv,90000,224,64,adamw,3e-05,0.0,30,10,True,early_stopping,203.62,85800194,85800194,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.989800,0.031494,0.988850,0.988899,0.988800,0.988849,0.999446,0.999457
resnet50_fe_20260826-0457,2026-08-26,configs/resnet50_fe_e50.yaml,resnet50,fe,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.01,0.0,50,49,False,max_epochs,169.84,23512130,4098,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.931700,0.174040,0.929800,0.929972,0.929600,0.929786,0.981507,0.981716
efficientnet_b0_fe_20260826-0749,2026-08-26,configs/efficientnet_b0_fe_e50.yaml,efficientnet_b0,fe,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.01,0.0,50,29,True,early_stopping,120.23,4010110,2562,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.926700,0.182485,0.928650,0.927325,0.930200,0.928760,0.980167,0.980383
resnet50_ft_20260827-0206,2026-08-27,configs/resnet50_ft_e50.yaml,resnet50,ft,42,data/cifake_split_seed42.csv,90000,224,128,sgd,0.001,0.0,50,48,False,max_epochs,323.44,23512130,23512130,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.963200,0.096133,0.965100,0.966032,0.964100,0.965065,0.994129,0.994135
