epoch,train_loss,train_acc,val_loss,val_acc
1,0.362899,0.860344,0.324696,0.874500
2,0.296070,0.886644,0.270702,0.896500
3,0.298938,0.888867,0.325089,0.885800
4,0.289756,0.892656,0.277678,0.895200
5,0.269529,0.898044,0.260355,0.898900
6,0.281594,0.896322,0.260367,0.904200
7,0.278301,0.897044,0.442559,0.851500
8,0.274503,0.899044,0.248665,0.905400
9,0.264450,0.900867,0.286588,0.897200
10,0.266310,0.900444,0.256395,0.902700
11,0.259284,0.903967,0.294870,0.893900
12,0.268957,0.901522,0.278535,0.896900
13,0.260638,0.903756,0.258503,0.905800
