fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0093,1.0
0.0,0.0182,0.9999999
0.0,0.0231,0.99999976
0.0,0.0267,0.99999964
0.0,0.0301,0.9999995
0.0,0.033,0.9999994
0.0,0.0352,0.9999993
0.0,0.037,0.99999917
0.0,0.0396,0.99999905
0.0,0.0408,0.9999989
0.0,0.0431,0.9999988
0.0,0.0444,0.9999987
0.0,0.0459,0.99999857
0.0,0.0472,0.99999845
0.0,0.0488,0.99999833
0.0,0.0501,0.9999982
0.0,0.0519,0.9999981
0.0,0.0529,0.999998
0.0,0.0541,0.99999785
0.0,0.056,0.99999774
0.0,0.0574,0.9999976
0.0,0.0581,0.9999975
0.0,0.059,0.9999974
0.0,0.0602,0.99999726
0.0,0.0608,0.99999714
0.0,0.0621,0.999997
0.0,0.063,0.9999969
0.0,0.0642,0.9999968
0.0,0.0658,0.99999654
0.0,0.0667,0.9999964
0.0,0.0679,0.9999963
0.0,0.0685,0.9999962
0.0,0.0688,0.99999607
0.0,0.0696,0.99999595
0.0,0.0705,0.9999958
0.0,0.071,0.9999957
0.0,0.0717,0.9999956
0.0,0.0727,0.99999547
0.0,0.073,0.99999535
0.0,0.0739,0.99999523
0.0,0.0746,0.9999951
0.0,0.0749,0.999995
0.0,0.0755,0.9999949
0.0,0.0763,0.99999475
0.0,0.0777,0.99999464
0.0,0.0781,0.9999945
0.0,0.0784,0.9999944
0.0,0.079,0.9999943
0.0,0.0795,0.99999416
0.0,0.0797,0.99999404
0.0,0.0807,0.9999938
0.0,0.0816,0.9999937
0.0,0.0823,0.99999356
0.0,0.0829,0.99999344
0.0,0.0834,0.9999933
0.0,0.0838,0.9999932
0.0,0.0844,0.9999931
0.0,0.0846,0.99999297
0.0,0.0853,0.99999285
0.0,0.0858,0.9999927
0.0,0.0862,0.9999926
0.0,0.0865,0.9999925
0.0,0.087,0.9999924
0.0,0.0874,0.99999225
0.0,0.0882,0.99999213
0.0,0.0885,0.999992
0.0,0.0891,0.9999919
0.0,0.0895,0.9999918
0.0,0.0898,0.99999166
0.0,0.0903,0.99999154
0.0,0.0906,0.9999914
0.0,0.0911,0.9999913
0.0,0.0917,0.9999912
0.0,0.0921,0.99999106
0.0,0.0923,0.99999094
0.0,0.0926,0.9999908
0.0,0.0934,0.9999907
0.0,0.0939,0.9999906
0.0,0.0942,0.99999046
0.0,0.0946,0.99999034
0.0,0.0951,0.9999902
0.0,0.0953,0.9999901
0.0,0.0962,0.99998975
0.0,0.0964,0.9999896
0.0,0.0968,0.9999895
0.0,0.0971,0.9999894
0.0,0.0973,0.9999893
0.0,0.0977,0.99998915
0.0,0.0987,0.9999889
0.0,0.099,0.9999888
0.0,0.0991,0.9999887
0.0,0.0995,0.99998844
0.0,0.0998,0.9999883
0.0,0.1,0.9999882
0.0,0.1005,0.9999881
0.0,0.1008,0.99998796
0.0,0.1015,0.99998784
0.0,0.1016,0.9999877
0.0,0.1021,0.9999876
0.0,0.1027,0.9999875
0.0,0.1035,0.99998724
0.0,0.1041,0.9999869
0.0,0.1045,0.99998677
0.0,0.1046,0.99998665
0.0,0.1048,0.9999865
0.0,0.1051,0.9999864
0.0,0.1053,0.9999863
0.0,0.1057,0.9999862
0.0,0.106,0.99998605
0.0,0.1065,0.99998593
0.0,0.1069,0.9999858
0.0,0.1072,0.9999856
0.0,0.1076,0.99998546
0.0,0.1078,0.99998534
0.0,0.1079,0.9999852
0.0,0.1085,0.999985
0.0,0.1087,0.99998486
0.0,0.109,0.99998474
0.0,0.1091,0.9999846
0.0,0.1096,0.9999845
0.0,0.1104,0.9999844
0.0,0.1106,0.99998426
0.0,0.1107,0.99998415
0.0,0.1115,0.9999839
0.0,0.112,0.9999838
0.0,0.1123,0.99998367
0.0,0.1127,0.99998355
0.0,0.1132,0.99998343
0.0,0.1134,0.9999833
0.0,0.114,0.9999831
0.0,0.1142,0.99998295
0.0,0.1145,0.99998283
0.0,0.115,0.9999827
0.0,0.1151,0.9999826
0.0,0.1155,0.99998236
0.0,0.1156,0.99998224
0.0,0.1158,0.9999821
0.0,0.1161,0.9999819
0.0,0.1165,0.99998176
0.0,0.1166,0.99998164
0.0,0.1169,0.9999815
0.0,0.1171,0.9999814
0.0,0.1175,0.9999813
0.0,0.1179,0.99998105
0.0,0.118,0.9999809
0.0,0.1182,0.9999808
0.0,0.1186,0.9999807
0.0,0.1189,0.9999802
0.0,0.1194,0.99998
0.0,0.1197,0.99997985
0.0001,0.1197,0.99997973
0.0001,0.1198,0.9999796
0.0001,0.12,0.9999795
0.0001,0.1204,0.9999794
0.0001,0.1206,0.99997926
0.0001,0.1214,0.999979
0.0001,0.1217,0.9999789
0.0001,0.122,0.99997854
0.0001,0.1222,0.9999783
0.0001,0.1226,0.9999782
0.0001,0.123,0.99997795
0.0001,0.1233,0.9999776
0.0001,0.1237,0.99997747
0.0001,0.124,0.99997735
0.0001,0.1241,0.9999771
0.0001,0.1244,0.999977
0.0001,0.1245,0.9999769
0.0001,0.1248,0.99997675
0.0001,0.1252,0.99997663
0.0001,0.1253,0.9999765
0.0001,0.1255,0.9999764
0.0001,0.1257,0.99997616
0.0001,0.1263,0.9999757
0.0001,0.1266,0.99997556
0.0001,0.1268,0.9999753
0.0002,0.1271,0.9999751
0.0002,0.1274,0.99997497
0.0002,0.1276,0.9999747
