epoch,train_loss,train_acc,val_loss,val_acc
1,0.150899,0.939567,0.091981,0.966200
2,0.084343,0.968000,0.082006,0.969800
3,0.061821,0.976544,0.072660,0.971900
4,0.049002,0.981700,0.076364,0.973600
5,0.037567,0.985989,0.060773,0.976900
6,0.029321,0.989767,0.066202,0.977400
7,0.023313,0.991511,0.078778,0.974700
8,0.018407,0.993344,0.086056,0.974300
9,0.015408,0.994222,0.059056,0.981900
10,0.012385,0.995356,0.076759,0.977600
11,0.011977,0.995656,0.070461,0.979700
12,0.008755,0.996944,0.081612,0.980000
13,0.006717,0.997700,0.085959,0.979200
14,0.006792,0.997522,0.085653,0.977500
