fpr,tpr,threshold
0.0,0.0,inf
0.0,0.2543,1.0
0.0,0.3086,0.9999999
0.0,0.3364,0.99999976
0.0,0.3549,0.99999964
0.0,0.3684,0.9999995
0.0,0.3884,0.9999993
0.0,0.3958,0.99999917
0.0,0.404,0.99999905
0.0,0.4108,0.9999989
0.0,0.4166,0.9999988
0.0,0.4237,0.9999987
0.0,0.4281,0.99999857
0.0,0.4341,0.99999845
0.0,0.4376,0.99999833
0.0,0.442,0.9999982
0.0,0.4455,0.9999981
0.0,0.4487,0.999998
0.0,0.4526,0.99999785
0.0,0.4556,0.99999774
0.0,0.4582,0.9999976
0.0,0.4605,0.9999975
0.0,0.4632,0.9999974
0.0,0.4657,0.99999726
0.0,0.4685,0.99999714
0.0,0.4733,0.9999969
0.0,0.4766,0.9999968
0.0,0.4784,0.99999666
0.0,0.4806,0.99999654
0.0,0.4822,0.9999964
0.0,0.4844,0.9999963
0.0,0.488,0.99999607
0.0,0.4918,0.9999958
0.0,0.4948,0.9999956
0.0,0.4961,0.99999547
0.0,0.4989,0.99999535
0.0,0.5008,0.99999523
0.0,0.503,0.9999951
0.0,0.5055,0.999995
0.0,0.5069,0.9999949
0.0,0.5103,0.99999464
0.0,0.5122,0.9999945
0.0,0.5135,0.9999944
0.0,0.5144,0.9999943
0.0,0.5159,0.99999416
0.0,0.5167,0.99999404
0.0,0.5209,0.9999937
0.0,0.5216,0.99999356
0.0,0.5226,0.99999344
0.0,0.5244,0.9999932
0.0,0.5251,0.9999931
0.0,0.5264,0.99999297
0.0,0.5273,0.99999285
0.0,0.5278,0.9999927
0.0,0.5291,0.9999926
0.0,0.5301,0.9999925
0.0001,0.5312,0.9999924
0.0001,0.5324,0.99999225
0.0001,0.533,0.99999213
0.0001,0.5341,0.999992
0.0001,0.5356,0.9999919
0.0001,0.5364,0.9999918
0.0001,0.5379,0.99999166
0.0001,0.5387,0.99999154
0.0001,0.5397,0.9999914
0.0001,0.5408,0.9999913
0.0001,0.5416,0.9999912
0.0001,0.543,0.99999106
0.0001,0.5448,0.9999908
0.0001,0.5452,0.9999907
0.0001,0.5462,0.9999906
0.0001,0.5468,0.99999046
0.0001,0.5472,0.99999034
0.0001,0.5483,0.9999902
0.0001,0.5489,0.9999901
0.0001,0.5496,0.99999
0.0001,0.5501,0.99998987
0.0001,0.5507,0.99998975
0.0001,0.551,0.9999896
0.0001,0.552,0.9999895
0.0001,0.5529,0.9999894
0.0001,0.5537,0.9999893
0.0001,0.5544,0.99998915
0.0001,0.5552,0.99998903
0.0001,0.5562,0.9999889
0.0001,0.5567,0.9999888
0.0001,0.557,0.9999887
0.0001,0.5575,0.99998856
0.0001,0.5584,0.99998844
0.0001,0.5594,0.9999883
0.0001,0.5601,0.9999882
0.0001,0.5606,0.9999881
0.0001,0.5613,0.99998796
0.0001,0.5615,0.99998784
0.0001,0.5623,0.9999877
0.0001,0.5625,0.9999876
0.0001,0.5634,0.9999875
0.0001,0.5638,0.99998736
0.0001,0.5648,0.99998724
0.0001,0.5652,0.9999871
0.0001,0.5657,0.999987
0.0001,0.5667,0.9999869
0.0001,0.5674,0.99998677
0.0001,0.568,0.99998665
0.0001,0.5701,0.9999863
0.0001,0.5705,0.9999862
0.0001,0.571,0.99998605
0.0001,0.5712,0.99998593
0.0001,0.5715,0.9999858
0.0001,0.5729,0.9999856
0.0001,0.5731,0.99998546
0.0001,0.5735,0.99998534
0.0001,0.5743,0.9999852
0.0001,0.5747,0.999985
0.0001,0.5755,0.99998486
0.0001,0.5759,0.99998474
0.0001,0.5768,0.9999844
0.0001,0.5772,0.99998415
0.0001,0.5777,0.999984
0.0001,0.5783,0.9999839
0.0001,0.5791,0.99998367
0.0001,0.5798,0.99998355
0.0001,0.5799,0.99998343
0.0001,0.5806,0.9999833
0.0001,0.5811,0.9999832
0.0001,0.5818,0.9999831
0.0001,0.5819,0.99998295
0.0001,0.5822,0.99998283
0.0001,0.5826,0.9999827
0.0001,0.5831,0.9999826
0.0001,0.5833,0.9999825
0.0001,0.584,0.99998236
0.0001,0.5843,0.99998224
0.0001,0.585,0.9999821
0.0001,0.5855,0.999982
0.0001,0.5859,0.99998176
0.0001,0.5866,0.99998164
0.0001,0.5876,0.9999814
0.0001,0.5883,0.9999813
0.0001,0.5886,0.99998116
0.0001,0.5904,0.9999808
0.0001,0.5907,0.99998057
0.0001,0.5915,0.99998033
0.0001,0.5917,0.9999802
0.0001,0.592,0.9999801
0.0001,0.5924,0.99998
0.0001,0.5925,0.99997985
0.0001,0.5939,0.9999796
0.0001,0.5944,0.9999795
0.0001,0.595,0.9999794
0.0001,0.5955,0.99997926
0.0001,0.5956,0.99997914
0.0001,0.5963,0.999979
0.0001,0.5969,0.9999789
0.0001,0.5972,0.9999788
0.0001,0.5978,0.99997866
0.0001,0.5982,0.99997854
0.0001,0.599,0.9999784
0.0001,0.5992,0.9999783
0.0001,0.5996,0.9999782
0.0001,0.5998,0.99997807
0.0001,0.6003,0.99997795
0.0001,0.6012,0.9999778
0.0001,0.6014,0.9999777
0.0001,0.6015,0.9999776
0.0001,0.6019,0.99997747
0.0001,0.6022,0.99997735
0.0001,0.6027,0.99997723
0.0001,0.6031,0.9999771
0.0001,0.6037,0.999977
0.0001,0.6044,0.9999769
0.0001,0.6046,0.99997675
0.0001,0.6052,0.9999764
0.0001,0.6054,0.99997616
0.0001,0.6057,0.99997604
0.0001,0.6058,0.9999759
0.0001,0.6062,0.9999757
0.0001,0.6068,0.99997556
0.0001,0.6072,0.99997544
0.0001,0.6073,0.9999753
0.0001,0.6078,0.9999752
0.0001,0.6081,0.9999751
0.0001,0.6083,0.99997497
0.0001,0.6087,0.99997485
0.0001,0.6093,0.9999747
0.0001,0.6097,0.9999745
0.0001,0.6105,0.99997413
0.0001,0.6108,0.999974
0.0001,0.6113,0.9999739
0.0001,0.6116,0.99997365
0.0001,0.6121,0.99997354
0.0001,0.6125,0.99997294
0.0001,0.6129,0.9999727
0.0001,0.6133,0.9999726
0.0001,0.6135,0.99997246
0.0001,0.6136,0.99997234
0.0001,0.6142,0.9999722
0.0001,0.6146,0.9999721
0.0001,0.6147,0.999972
0.0001,0.6151,0.99997187
0.0001,0.6152,0.99997175
0.0001,0.6157,0.9999716
0.0001,0.6161,0.9999713
0.0001,0.6165,0.99997115
0.0001,0.6168,0.99997103
0.0001,0.6169,0.9999709
0.0001,0.6173,0.9999708
0.0001,0.6175,0.9999707
0.0001,0.618,0.99997056
0.0001,0.6184,0.9999703
0.0001,0.6187,0.9999702
0.0001,0.6191,0.9999701
0.0001,0.6192,0.99996996
0.0001,0.6198,0.9999697
0.0001,0.62,0.9999696
0.0001,0.6203,0.9999695
0.0001,0.6219,0.999969
0.0001,0.6227,0.9999683
0.0001,0.6229,0.99996805
0.0001,0.6233,0.99996793
0.0001,0.6238,0.9999678
0.0001,0.6242,0.9999676
0.0001,0.6248,0.99996746
0.0001,0.6251,0.99996734
0.0001,0.6253,0.9999672
0.0001,0.6256,0.9999671
0.0001,0.6258,0.999967
0.0001,0.6261,0.99996674
0.0001,0.6265,0.9999666
0.0001,0.627,0.9999664
0.0001,0.6272,0.99996626
0.0001,0.6275,0.99996614
0.0001,0.6277,0.999966
0.0001,0.6279,0.9999658
0.0001,0.6284,0.99996567
0.0001,0.6291,0.99996555
0.0001,0.6295,0.9999654
0.0001,0.63,0.9999653
0.0001,0.6304,0.9999651
0.0001,0.6308,0.9999646
0.0001,0.6314,0.99996436
0.0001,0.6317,0.999964
0.0001,0.6319,0.9999639
0.0001,0.6325,0.99996376
0.0001,0.6328,0.99996364
0.0001,0.633,0.9999635
0.0001,0.6338,0.9999633
0.0001,0.6343,0.99996316
0.0001,0.6347,0.9999629
0.0001,0.6351,0.9999628
0.0001,0.6352,0.9999627
0.0001,0.6357,0.99996257
