fpr,tpr,threshold
0.0,0.0,inf
0.0,0.003,1.0
0.0,0.0065,0.9999999
0.0,0.0093,0.99999976
0.0,0.012,0.99999964
0.0,0.0133,0.9999995
0.0,0.0152,0.9999994
0.0,0.0163,0.9999993
0.0,0.0177,0.99999917
0.0,0.0189,0.99999905
0.0,0.0219,0.9999988
0.0,0.0228,0.9999987
0.0,0.0234,0.99999857
0.0,0.0245,0.99999845
0.0,0.0251,0.99999833
0.0,0.026,0.9999982
0.0,0.0271,0.9999981
0.0,0.0278,0.999998
0.0,0.0284,0.99999785
0.0,0.0289,0.99999774
0.0,0.0295,0.9999976
0.0,0.0317,0.9999974
0.0,0.0326,0.99999726
0.0,0.0342,0.999997
0.0,0.0349,0.9999969
0.0,0.036,0.9999968
0.0,0.0368,0.99999666
0.0,0.037,0.99999654
0.0,0.039,0.9999963
0.0,0.0395,0.9999962
0.0,0.0407,0.99999607
0.0,0.0414,0.99999595
0.0,0.0422,0.9999958
0.0,0.0432,0.9999957
0.0,0.0438,0.9999956
0.0,0.0442,0.99999547
0.0,0.0449,0.99999535
0.0,0.0452,0.99999523
0.0,0.0464,0.9999951
0.0,0.0471,0.999995
0.0,0.0481,0.9999949
0.0,0.0486,0.99999475
0.0,0.0502,0.9999945
0.0,0.0508,0.9999944
0.0,0.0514,0.99999416
0.0,0.0519,0.99999404
0.0,0.0525,0.9999939
0.0,0.0528,0.9999938
0.0,0.0532,0.9999937
0.0,0.0534,0.99999356
0.0,0.0537,0.99999344
0.0,0.0539,0.9999933
0.0,0.0542,0.9999932
0.0,0.0547,0.9999931
0.0,0.0556,0.99999297
0.0,0.0562,0.99999285
0.0,0.0566,0.9999927
0.0,0.0572,0.9999926
0.0,0.0575,0.9999925
0.0,0.0583,0.99999225
0.0,0.0584,0.99999213
0.0,0.0587,0.999992
0.0,0.0593,0.9999919
0.0,0.0595,0.9999918
0.0,0.0598,0.99999166
0.0,0.0599,0.99999154
0.0,0.0603,0.9999914
0.0,0.0608,0.9999913
0.0,0.0612,0.9999912
0.0,0.0621,0.99999106
0.0,0.0628,0.99999094
0.0,0.0633,0.9999908
0.0,0.0637,0.9999907
0.0,0.0643,0.9999906
0.0,0.0649,0.99999034
0.0,0.0651,0.9999902
0.0,0.0655,0.9999901
0.0,0.0656,0.99999
0.0,0.0663,0.99998987
0.0,0.0664,0.99998975
0.0,0.067,0.9999896
0.0,0.0674,0.9999895
0.0,0.0676,0.9999894
0.0,0.0686,0.99998915
0.0,0.0689,0.99998903
0.0,0.0694,0.9999889
0.0,0.0697,0.9999888
0.0,0.0699,0.9999887
0.0,0.0706,0.99998856
0.0,0.0711,0.99998844
0.0,0.0717,0.9999883
0.0,0.0721,0.9999882
0.0,0.0723,0.9999881
0.0,0.0727,0.99998796
0.0,0.0739,0.9999875
0.0,0.0748,0.99998736
0.0,0.076,0.9999871
0.0,0.0761,0.999987
0.0,0.0764,0.9999869
0.0,0.0765,0.99998677
0.0,0.0769,0.9999865
