epoch,train_loss,train_acc,val_loss,val_acc
1,0.075419,0.970744,0.040350,0.985700
2,0.032115,0.988267,0.049638,0.982600
3,0.022952,0.991811,0.034313,0.987900
4,0.017238,0.993800,0.043376,0.983800
5,0.013980,0.995156,0.040677,0.988900
6,0.013429,0.995167,0.033586,0.989100
7,0.010528,0.996289,0.068050,0.979800
8,0.011661,0.996111,0.035015,0.989200
9,0.009133,0.996656,0.046171,0.987500
10,0.008259,0.997411,0.031494,0.989800
11,0.008041,0.997456,0.037951,0.988700
12,0.007082,0.997489,0.041623,0.988300
13,0.007237,0.997667,0.031610,0.990600
14,0.006326,0.997822,0.054356,0.984800
15,0.005577,0.998056,0.056734,0.988200
