fpr,tpr,threshold
0.0,0.0,inf
0.0,0.2893,1.0
0.0,0.392,0.9999999
0.0,0.4397,0.99999976
0.0,0.471,0.99999964
0.0,0.4932,0.9999995
0.0,0.51,0.9999994
0.0,0.5242,0.9999993
0.0,0.5369,0.99999917
0.0,0.55,0.99999905
0.0,0.5591,0.9999989
0.0,0.5664,0.9999988
0.0,0.5747,0.9999987
0.0,0.5819,0.99999857
0.0,0.588,0.99999845
0.0,0.5946,0.99999833
0.0,0.6005,0.9999982
0.0,0.6073,0.9999981
0.0,0.6121,0.999998
0.0,0.6173,0.99999785
0.0,0.6227,0.99999774
0.0,0.6268,0.9999976
0.0,0.6317,0.9999975
0.0,0.6346,0.9999974
0.0,0.6384,0.99999726
0.0,0.6425,0.99999714
0.0,0.6465,0.999997
0.0,0.6483,0.9999969
0.0,0.6505,0.9999968
0.0,0.6537,0.99999666
0.0,0.6556,0.99999654
0.0,0.6582,0.9999964
0.0,0.6603,0.9999963
0.0,0.6631,0.9999962
0.0,0.6661,0.99999607
0.0,0.6693,0.9999958
0.0,0.6739,0.9999956
0.0,0.6761,0.99999547
0.0,0.678,0.99999535
0.0,0.6802,0.99999523
0.0,0.6822,0.9999951
0.0,0.6834,0.999995
0.0,0.6845,0.9999949
0.0,0.6863,0.99999475
0.0,0.688,0.99999464
0.0,0.6893,0.9999945
0.0,0.6907,0.9999944
0.0,0.6918,0.9999943
0.0,0.6966,0.9999939
0.0,0.6983,0.9999938
0.0,0.7003,0.9999937
0.0,0.7017,0.99999356
0.0,0.7039,0.9999933
0.0,0.7049,0.9999932
0.0,0.7056,0.9999931
0.0,0.7076,0.99999297
0.0,0.7088,0.99999285
0.0,0.7095,0.9999927
0.0,0.7101,0.9999926
0.0,0.7109,0.9999925
0.0,0.7129,0.9999924
0.0,0.7134,0.99999225
0.0,0.714,0.99999213
0.0,0.7151,0.999992
0.0,0.7157,0.9999919
0.0,0.7173,0.9999918
0.0,0.7187,0.99999166
0.0,0.7195,0.99999154
0.0,0.7207,0.9999913
